AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2019-20,40,5.7,5.3,5.2,16,"2,684","52,212",> 100%
National,,All,2019-20,41,5.7,5.4,5.2,15,"2,741","52,609",> 100%
National,,All,2019-20,42,5.8,5.5,5.5,18,"2,954","53,804",> 100%
National,,All,2019-20,43,5.9,5.6,5.6,30,"2,956","53,583",> 100%
National,,All,2019-20,44,6,5.7,5.4,31,"2,850","53,393",> 100%
National,,All,2019-20,45,6.2,5.8,5.5,28,"2,980","54,390",> 100%
National,,All,2019-20,46,6.3,5.9,5.6,39,"3,000","54,304",> 100%
National,,All,2019-20,47,6.4,6,5.3,47,"2,838","54,015",> 100%
National,,All,2019-20,48,6.5,6.2,5.4,60,"2,803","52,590",> 100%
National,,All,2019-20,49,6.6,6.3,5.9,88,"3,082","53,493",> 100%
National,,All,2019-20,50,6.7,6.4,6.2,93,"3,177","52,851",> 100%
National,,All,2019-20,51,6.8,6.5,6,111,"3,007","51,940",> 100%
National,,All,2019-20,52,6.9,6.6,6.3,159,"3,079","51,591",> 100%
National,,All,2019-20,1,7,6.7,7.4,325,"3,292","49,148",> 100%
National,,All,2019-20,2,7.1,6.7,7,279,"2,676","42,418",89.2%
National,,All,2019-20,3,7.2,6.8,6.7,191,"1,916","31,247",65.7%
National,,All,2018-19,40,5.9,5.5,5.7,10,"2,969","52,357",> 100%
National,,All,2018-19,41,5.9,5.6,5.6,12,"2,866","51,849",> 100%
National,,All,2018-19,42,6,5.7,5.7,18,"2,987","52,979",> 100%
National,,All,2018-19,43,6.1,5.8,5.7,24,"3,065","53,763",> 100%
National,,All,2018-19,44,6.2,5.9,5.6,25,"3,003","53,638",> 100%
National,,All,2018-19,45,6.3,6,5.7,30,"3,020","53,561",> 100%
National,,All,2018-19,46,6.5,6.1,5.8,26,"3,142","54,698",> 100%
National,,All,2018-19,47,6.6,6.2,5.9,31,"3,178","54,847",> 100%
National,,All,2018-19,48,6.7,6.3,6,38,"3,287","55,060",> 100%
National,,All,2018-19,49,6.8,6.4,6.2,56,"3,399","55,967",> 100%
National,,All,2018-19,50,6.9,6.6,6.4,51,"3,551","56,387",> 100%
National,,All,2018-19,51,7,6.7,6.3,88,"3,490","56,528",> 100%
National,,All,2018-19,52,7.1,6.7,6.7,141,"3,635","56,026",> 100%
National,,All,2018-19,1,7.2,6.8,7.1,210,"3,918","58,291",> 100%
National,,All,2018-19,2,7.3,6.9,7.4,259,"4,052","58,343",> 100%
National,,All,2018-19,3,7.3,7,7.5,247,"4,093","58,182",> 100%
National,,All,2018-19,4,7.4,7,7.2,275,"3,894","57,828",> 100%
National,,All,2018-19,5,7.4,7.1,7.3,327,"3,887","58,113",> 100%
National,,All,2018-19,6,7.4,7.1,7.3,366,"3,889","58,485",> 100%
National,,All,2018-19,7,7.4,7.1,7.6,481,"3,891","57,903",> 100%
National,,All,2018-19,8,7.4,7.1,7.7,475,"3,973","57,846",> 100%
National,,All,2018-19,9,7.4,7.1,7.4,516,"3,752","57,897",> 100%
National,,All,2018-19,10,7.4,7,7.3,544,"3,744","58,468",> 100%
National,,All,2018-19,11,7.3,7,7.8,508,"3,978","57,849",> 100%
National,,All,2018-19,12,7.3,6.9,7.5,480,"3,792","57,061",> 100%
National,,All,2018-19,13,7.2,6.9,7.4,459,"3,710","56,646",> 100%
National,,All,2018-19,14,7.1,6.8,7,340,"3,628","56,565",> 100%
National,,All,2018-19,15,7.1,6.7,6.8,303,"3,446","55,436",> 100%
National,,All,2018-19,16,7,6.6,6.6,200,"3,411","54,416",> 100%
National,,All,2018-19,17,6.8,6.5,6.4,156,"3,267","53,589",> 100%
National,,All,2018-19,18,6.7,6.4,6.2,98,"3,220","53,939",> 100%
National,,All,2018-19,19,6.6,6.3,6.2,69,"3,225","53,423",> 100%
National,,All,2018-19,20,6.5,6.2,6,50,"3,148","53,523",> 100%
National,,All,2018-19,21,6.4,6,5.9,30,"3,144","53,629",> 100%
National,,All,2018-19,22,6.3,5.9,6,29,"3,115","52,662",> 100%
National,,All,2018-19,23,6.1,5.8,5.8,21,"3,035","53,080",> 100%
National,,All,2018-19,24,6,5.7,5.6,16,"2,929","52,595",> 100%
National,,All,2018-19,25,5.9,5.6,5.7,13,"2,947","52,240",> 100%
National,,All,2018-19,26,5.8,5.5,5.6,15,"2,893","52,145",> 100%
National,,All,2018-19,27,5.7,5.4,5.5,13,"2,854","52,300",> 100%
National,,All,2018-19,28,5.7,5.3,5.4,11,"2,765","51,868",> 100%
National,,All,2018-19,29,5.6,5.2,5.2,6,"2,671","51,572",> 100%
National,,All,2018-19,30,5.5,5.2,5.4,8,"2,755","51,559",> 100%
National,,All,2018-19,31,5.5,5.1,5.3,6,"2,725","51,308",> 100%
National,,All,2018-19,32,5.4,5.1,5.1,7,"2,632","51,591",> 100%
National,,All,2018-19,33,5.4,5.1,5.1,8,"2,596","50,873",> 100%
National,,All,2018-19,34,5.4,5.1,5.1,6,"2,586","50,890",> 100%
National,,All,2018-19,35,5.4,5.1,5.1,13,"2,608","51,050",> 100%
National,,All,2018-19,36,5.4,5.1,5,12,"2,573","51,696",> 100%
National,,All,2018-19,37,5.5,5.1,4.9,16,"2,502","51,462",> 100%
National,,All,2018-19,38,5.5,5.2,5.3,14,"2,699","51,565",> 100%
National,,All,2018-19,39,5.6,5.3,5.3,15,"2,761","52,567",> 100%
National,,All,2017-18,40,6.1,5.7,5.8,16,"3,022","52,107",> 100%
National,,All,2017-18,41,6.2,5.8,5.9,18,"3,001","51,577",> 100%
National,,All,2017-18,42,6.3,5.9,6.1,28,"3,156","52,222",> 100%
National,,All,2017-18,43,6.4,6,6.3,23,"3,279","52,543",> 100%
National,,All,2017-18,44,6.5,6.1,6.1,36,"3,215","53,667",> 100%
National,,All,2017-18,45,6.6,6.2,6.1,45,"3,180","53,240",> 100%
National,,All,2017-18,46,6.7,6.3,6.3,50,"3,315","53,767",> 100%
National,,All,2017-18,47,6.8,6.5,6,48,"3,202","54,120",> 100%
National,,All,2017-18,48,6.9,6.6,6.5,83,"3,493","54,760",> 100%
National,,All,2017-18,49,7.1,6.7,6.6,118,"3,528","55,595",> 100%
National,,All,2017-18,50,7.2,6.8,6.8,165,"3,759","57,370",> 100%
National,,All,2017-18,51,7.3,6.9,7.3,359,"3,987","59,505",> 100%
National,,All,2017-18,52,7.4,7,8.3,671,"4,418","61,090",> 100%
National,,All,2017-18,1,7.5,7.1,9.6,"1,165","5,156","66,134",> 100%
National,,All,2017-18,2,7.5,7.2,10.5,"1,536","5,583","67,495",> 100%
National,,All,2017-18,3,7.6,7.2,10.9,"1,626","5,412","64,647",> 100%
National,,All,2017-18,4,7.6,7.3,10.6,"1,448","5,187","62,780",> 100%
National,,All,2017-18,5,7.7,7.3,10.2,"1,360","4,877","60,974",> 100%
National,,All,2017-18,6,7.7,7.3,9.7,"1,243","4,689","61,110",> 100%
National,,All,2017-18,7,7.7,7.4,9.7,"1,179","4,599","59,779",> 100%
National,,All,2017-18,8,7.7,7.3,9.2,892,"4,426","57,793",> 100%
National,,All,2017-18,9,7.7,7.3,8.4,738,"4,044","56,692",> 100%
National,,All,2017-18,10,7.7,7.3,8,507,"4,061","57,093",> 100%
National,,All,2017-18,11,7.6,7.2,7.6,444,"3,853","56,326",> 100%
National,,All,2017-18,12,7.5,7.2,7.4,345,"3,792","55,766",> 100%
National,,All,2017-18,13,7.5,7.1,7.4,284,"3,779","54,918",> 100%
National,,All,2017-18,14,7.4,7,7.2,300,"3,698","55,294",> 100%
National,,All,2017-18,15,7.3,6.9,6.9,214,"3,590","55,228",> 100%
National,,All,2017-18,16,7.2,6.8,6.6,153,"3,429","54,038",> 100%
National,,All,2017-18,17,7.1,6.7,6.5,119,"3,394","53,727",> 100%
National,,All,2017-18,18,7,6.6,6.1,106,"3,198","53,741",> 100%
National,,All,2017-18,19,6.8,6.5,5.9,53,"3,032","52,105",> 100%
National,,All,2017-18,20,6.7,6.4,5.9,43,"2,955","50,618",> 100%
National,,All,2017-18,21,6.6,6.2,5.8,26,"2,951","50,929",> 100%
National,,All,2017-18,22,6.5,6.1,5.7,26,"2,905","51,045",> 100%
National,,All,2017-18,23,6.3,6,5.6,14,"2,908","52,001",> 100%
National,,All,2017-18,24,6.2,5.9,5.7,14,"2,935","51,387",> 100%
National,,All,2017-18,25,6.1,5.8,5.6,7,"2,865","51,044",> 100%
National,,All,2017-18,26,6,5.7,5.7,9,"2,868","50,855",> 100%
National,,All,2017-18,27,5.9,5.6,5.4,10,"2,769","51,684",> 100%
National,,All,2017-18,28,5.8,5.5,5.4,5,"2,781","51,191",> 100%
National,,All,2017-18,29,5.8,5.4,5.4,8,"2,706","50,609",> 100%
National,,All,2017-18,30,5.7,5.3,5.4,12,"2,697","50,274",> 100%
National,,All,2017-18,31,5.7,5.3,5.3,4,"2,661","50,637",> 100%
National,,All,2017-18,32,5.6,5.3,5.3,10,"2,673","50,967",> 100%
National,,All,2017-18,33,5.6,5.2,5.2,5,"2,617","50,301",> 100%
National,,All,2017-18,34,5.6,5.2,5.4,10,"2,713","50,459",> 100%
National,,All,2017-18,35,5.6,5.3,5.2,6,"2,630","50,611",> 100%
National,,All,2017-18,36,5.6,5.3,5.5,6,"2,749","50,299",> 100%
National,,All,2017-18,37,5.7,5.3,5.4,8,"2,761","51,083",> 100%
National,,All,2017-18,38,5.7,5.4,5.5,11,"2,819","51,583",> 100%
National,,All,2017-18,39,5.8,5.4,5.5,14,"2,814","50,959",> 100%
National,,All,2016-17,40,6.2,5.9,5.9,18,"3,022","51,375",> 100%
National,,All,2016-17,41,6.3,6,6.1,11,"3,191","52,093",> 100%
National,,All,2016-17,42,6.4,6.1,6.2,7,"3,176","51,414",> 100%
National,,All,2016-17,43,6.6,6.2,6.1,17,"3,130","51,830",> 100%
National,,All,2016-17,44,6.7,6.3,6,16,"3,099","51,724",> 100%
National,,All,2016-17,45,6.8,6.4,6.1,19,"3,208","52,505",> 100%
National,,All,2016-17,46,6.9,6.5,6,7,"3,191","53,428",> 100%
National,,All,2016-17,47,7,6.7,6.2,22,"3,256","53,128",> 100%
National,,All,2016-17,48,7.2,6.8,6.5,34,"3,515","54,582",> 100%
National,,All,2016-17,49,7.3,6.9,6.6,33,"3,616","55,138",> 100%
National,,All,2016-17,50,7.4,7,6.8,46,"3,780","55,985",> 100%
National,,All,2016-17,51,7.5,7.1,6.8,92,"3,738","56,719",> 100%
National,,All,2016-17,52,7.6,7.2,7.4,157,"4,105","57,604",> 100%
National,,All,2016-17,1,7.7,7.3,8.1,289,"4,558","59,763",> 100%
National,,All,2016-17,2,7.8,7.4,8,368,"4,505","60,980",> 100%
National,,All,2016-17,3,7.8,7.5,8.4,373,"4,621","59,293",> 100%
National,,All,2016-17,4,7.9,7.5,8.3,367,"4,427","58,047",> 100%
National,,All,2016-17,5,7.9,7.6,8.2,351,"4,452","58,432",> 100%
National,,All,2016-17,6,8,7.6,8.2,419,"4,447","59,038",> 100%
National,,All,2016-17,7,8,7.6,8.5,545,"4,419","58,479",> 100%
National,,All,2016-17,8,8,7.6,8.5,605,"4,369","58,288",> 100%
National,,All,2016-17,9,7.9,7.6,8.4,534,"4,260","57,256",> 100%
National,,All,2016-17,10,7.9,7.5,8.2,472,"4,223","57,477",> 100%
National,,All,2016-17,11,7.8,7.5,7.9,376,"4,100","56,656",> 100%
National,,All,2016-17,12,7.8,7.4,7.7,319,"4,091","57,045",> 100%
National,,All,2016-17,13,7.7,7.3,7.6,333,"3,887","55,703",> 100%
National,,All,2016-17,14,7.6,7.2,7.4,266,"3,821","55,160",> 100%
National,,All,2016-17,15,7.5,7.1,7.3,208,"3,776","54,861",> 100%
National,,All,2016-17,16,7.4,7,6.9,162,"3,489","53,070",> 100%
National,,All,2016-17,17,7.3,6.9,6.7,90,"3,458","53,295",> 100%
National,,All,2016-17,18,7.2,6.8,6.4,63,"3,308","52,657",> 100%
National,,All,2016-17,19,7,6.7,6.3,50,"3,216","51,985",> 100%
National,,All,2016-17,20,6.9,6.5,6.2,53,"3,201","52,480",> 100%
National,,All,2016-17,21,6.8,6.4,6.1,24,"3,091","50,972",> 100%
National,,All,2016-17,22,6.6,6.3,5.9,23,"3,019","51,256",> 100%
National,,All,2016-17,23,6.5,6.2,6.1,17,"3,127","51,418",> 100%
National,,All,2016-17,24,6.4,6,6.1,19,"3,069","50,797",> 100%
National,,All,2016-17,25,6.3,5.9,5.9,15,"2,982","51,195",> 100%
National,,All,2016-17,26,6.2,5.8,5.9,10,"2,954","50,617",> 100%
National,,All,2016-17,27,6.1,5.7,5.6,18,"2,824","50,959",> 100%
National,,All,2016-17,28,6,5.6,6.1,4,"3,047","49,973",> 100%
National,,All,2016-17,29,5.9,5.6,5.5,10,"2,755","50,127",> 100%
National,,All,2016-17,30,5.9,5.5,5.8,3,"2,853","49,362",> 100%
National,,All,2016-17,31,5.8,5.5,5.4,4,"2,695","50,087",> 100%
National,,All,2016-17,32,5.8,5.4,5.4,6,"2,722","50,237",> 100%
National,,All,2016-17,33,5.8,5.4,5.4,11,"2,689","50,185",> 100%
National,,All,2016-17,34,5.8,5.4,5.6,7,"2,756","49,517",> 100%
National,,All,2016-17,35,5.8,5.4,5.4,7,"2,716","50,832",> 100%
National,,All,2016-17,36,5.8,5.5,5.6,12,"2,825","50,979",> 100%
National,,All,2016-17,37,5.9,5.5,5.9,7,"3,021","51,694",> 100%
National,,All,2016-17,38,5.9,5.6,5.8,16,"2,935","51,229",> 100%
National,,All,2016-17,39,6,5.6,5.7,19,"2,888","51,342",> 100%
National,,All,2015-16,40,6.5,6.1,6.3,14,"3,206","51,092",> 100%
National,,All,2015-16,41,6.6,6.2,6.3,7,"3,145","50,034",> 100%
National,,All,2015-16,42,6.7,6.3,6.4,16,"3,227","50,925",> 100%
National,,All,2015-16,43,6.8,6.4,6.3,17,"3,170","50,479",> 100%
National,,All,2015-16,44,6.9,6.5,6.6,20,"3,355","51,174",> 100%
National,,All,2015-16,45,7.1,6.7,6.4,14,"3,228","50,746",> 100%
National,,All,2015-16,46,7.2,6.8,6.5,13,"3,357","51,810",> 100%
National,,All,2015-16,47,7.3,6.9,6.5,14,"3,337","51,491",> 100%
National,,All,2015-16,48,7.4,7,6.7,22,"3,461","52,063",> 100%
National,,All,2015-16,49,7.6,7.2,6.6,20,"3,537","53,748",> 100%
National,,All,2015-16,50,7.7,7.3,6.7,26,"3,482","52,267",> 100%
National,,All,2015-16,51,7.8,7.4,6.7,15,"3,535","53,204",> 100%
National,,All,2015-16,52,7.9,7.5,7.5,31,"3,924","52,600",> 100%
National,,All,2015-16,1,8,7.6,7.7,32,"4,241","55,817",> 100%
National,,All,2015-16,2,8.1,7.7,7.8,30,"4,282","55,557",> 100%
National,,All,2015-16,3,8.1,7.7,7.4,36,"4,047","55,203",> 100%
National,,All,2015-16,4,8.2,7.8,7.5,50,"4,115","55,640",> 100%
National,,All,2015-16,5,8.2,7.8,7.5,61,"4,082","55,113",> 100%
National,,All,2015-16,6,8.2,7.8,7.4,92,"3,989","55,434",> 100%
National,,All,2015-16,7,8.2,7.8,7.5,149,"4,051","56,152",> 100%
National,,All,2015-16,8,8.2,7.8,8,187,"4,230","55,180",> 100%
National,,All,2015-16,9,8.2,7.8,8.1,257,"4,250","55,899",> 100%
National,,All,2015-16,10,8.1,7.8,8.1,294,"4,284","56,186",> 100%
National,,All,2015-16,11,8.1,7.7,8.3,351,"4,153","54,566",> 100%
National,,All,2015-16,12,8,7.6,8.2,295,"4,193","54,790",> 100%
National,,All,2015-16,13,7.9,7.5,7.7,282,"3,896","53,915",> 100%
National,,All,2015-16,14,7.8,7.4,7.8,250,"3,943","54,045",> 100%
National,,All,2015-16,15,7.7,7.3,7.6,196,"3,890","53,467",> 100%
National,,All,2015-16,16,7.6,7.2,7.2,148,"3,684","53,131",> 100%
National,,All,2015-16,17,7.5,7.1,6.9,127,"3,396","51,003",> 100%
National,,All,2015-16,18,7.4,7,6.8,91,"3,401","51,247",> 100%
National,,All,2015-16,19,7.2,6.8,6.5,74,"3,239","50,979",> 100%
National,,All,2015-16,20,7.1,6.7,6.6,34,"3,287","50,441",> 100%
National,,All,2015-16,21,7,6.6,6.4,30,"3,197","50,463",> 100%
National,,All,2015-16,22,6.8,6.4,6.1,17,"3,024","49,688",> 100%
National,,All,2015-16,23,6.7,6.3,6.4,17,"3,172","49,896",> 100%
National,,All,2015-16,24,6.6,6.2,5.9,18,"2,920","49,895",> 100%
National,,All,2015-16,25,6.5,6.1,5.8,12,"2,875","49,602",> 100%
National,,All,2015-16,26,6.3,6,5.9,10,"2,913","49,715",> 100%
National,,All,2015-16,27,6.2,5.9,5.9,10,"2,912","49,670",> 100%
National,,All,2015-16,28,6.2,5.8,5.9,6,"2,925","49,611",> 100%
National,,All,2015-16,29,6.1,5.7,5.6,5,"2,766","49,246",> 100%
National,,All,2015-16,30,6,5.6,5.7,5,"2,803","49,679",> 100%
National,,All,2015-16,31,6,5.6,5.8,2,"2,843","49,477",> 100%
National,,All,2015-16,32,6,5.6,5.7,2,"2,827","49,715",> 100%
National,,All,2015-16,33,5.9,5.6,5.8,5,"2,864","49,791",> 100%
National,,All,2015-16,34,5.9,5.6,5.7,6,"2,827","49,491",> 100%
National,,All,2015-16,35,6,5.6,5.8,5,"2,869","49,559",> 100%
National,,All,2015-16,36,6,5.6,5.8,5,"2,881","50,050",> 100%
National,,All,2015-16,37,6,5.6,6.2,8,"3,092","49,888",> 100%
National,,All,2015-16,38,6.1,5.7,6.1,9,"3,016","49,863",> 100%
National,,All,2015-16,39,6.2,5.8,6,11,"2,985","50,226",> 100%
National,,All,2014-15,40,6.7,6.2,6.4,6,"3,075","48,366",> 100%
National,,All,2014-15,41,6.8,6.3,6.4,8,"3,142","49,360",> 100%
National,,All,2014-15,42,6.9,6.4,6.3,13,"3,085","49,238",> 100%
National,,All,2014-15,43,7,6.6,6.5,11,"3,202","49,071",> 100%
National,,All,2014-15,44,7.1,6.7,6.5,17,"3,154","49,007",> 100%
National,,All,2014-15,45,7.2,6.8,6.3,11,"3,208","51,049",> 100%
National,,All,2014-15,46,7.4,6.9,6.4,18,"3,240","50,550",> 100%
National,,All,2014-15,47,7.5,7.1,6.5,31,"3,380","52,533",> 100%
National,,All,2014-15,48,7.6,7.2,6.7,46,"3,419","51,866",> 100%
National,,All,2014-15,49,7.8,7.3,7,83,"3,620","52,748",> 100%
National,,All,2014-15,50,7.9,7.5,7.4,169,"3,785","53,554",> 100%
National,,All,2014-15,51,8,7.6,8.1,312,"4,098","54,622",> 100%
National,,All,2014-15,52,8.1,7.7,8.5,512,"4,264","56,028",> 100%
National,,All,2014-15,53,8.2,7.8,10.2,"1,014","5,034","59,346",> 100%
National,,All,2014-15,1,8.3,7.9,10.8,"1,100","5,576","61,750",> 100%
National,,All,2014-15,2,8.4,8,10.7,983,"5,589","61,153",> 100%
National,,All,2014-15,3,8.5,8.1,10.1,711,"5,184","58,643",> 100%
National,,All,2014-15,4,8.5,8.1,9.5,586,"4,857","57,292",> 100%
National,,All,2014-15,5,8.5,8.1,9.1,484,"4,740","57,362",> 100%
National,,All,2014-15,6,8.6,8.2,8.8,405,"4,585","56,650",> 100%
National,,All,2014-15,7,8.6,8.2,8.4,285,"4,501","56,669",> 100%
National,,All,2014-15,8,8.6,8.1,8.5,221,"4,559","56,328",> 100%
National,,All,2014-15,9,8.5,8.1,8.4,190,"4,546","56,502",> 100%
National,,All,2014-15,10,8.5,8.1,8.3,159,"4,446","55,732",> 100%
National,,All,2014-15,11,8.4,8,8,139,"4,196","54,455",> 100%
National,,All,2014-15,12,8.3,7.9,7.5,121,"3,902","53,400",> 100%
National,,All,2014-15,13,8.2,7.8,7.4,99,"3,843","53,196",> 100%
National,,All,2014-15,14,8.1,7.7,7.5,100,"3,838","52,833",> 100%
National,,All,2014-15,15,8,7.6,7.6,75,"3,925","52,869",> 100%
National,,All,2014-15,16,7.9,7.5,7.5,63,"3,807","51,615",> 100%
National,,All,2014-15,17,7.8,7.4,7.2,50,"3,652","51,477",> 100%
National,,All,2014-15,18,7.6,7.2,6.9,28,"3,550","51,683",> 100%
National,,All,2014-15,19,7.5,7.1,6.9,22,"3,475","50,710",> 100%
National,,All,2014-15,20,7.3,6.9,6.6,14,"3,240","49,386",> 100%
National,,All,2014-15,21,7.2,6.8,6.8,18,"3,373","49,842",> 100%
National,,All,2014-15,22,7.1,6.7,6.5,10,"3,198","49,258",> 100%
National,,All,2014-15,23,6.9,6.5,6.5,11,"3,214","49,805",> 100%
National,,All,2014-15,24,6.8,6.4,6.4,6,"3,150","49,112",> 100%
National,,All,2014-15,25,6.7,6.3,6.5,4,"3,198","49,068",> 100%
National,,All,2014-15,26,6.6,6.2,6.3,6,"3,112","49,238",> 100%
National,,All,2014-15,27,6.5,6.1,6.3,7,"3,081","48,946",> 100%
National,,All,2014-15,28,6.4,6,6.2,7,"3,032","49,254",> 100%
National,,All,2014-15,29,6.3,5.9,6.2,3,"3,009","48,646",> 100%
National,,All,2014-15,30,6.2,5.8,6,4,"2,917","48,698",> 100%
National,,All,2014-15,31,6.2,5.8,6.1,4,"2,948","48,313",> 100%
National,,All,2014-15,32,6.2,5.8,5.9,8,"2,842","48,186",> 100%
National,,All,2014-15,33,6.1,5.7,6.1,6,"2,935","48,460",> 100%
National,,All,2014-15,34,6.2,5.8,6,5,"2,906","48,515",> 100%
National,,All,2014-15,35,6.2,5.8,6,3,"2,941","48,754",> 100%
National,,All,2014-15,36,6.2,5.8,6,3,"2,949","48,807",> 100%
National,,All,2014-15,37,6.3,5.9,6.2,6,"3,013","48,967",> 100%
National,,All,2014-15,38,6.3,5.9,6.2,8,"3,051","49,297",> 100%
National,,All,2014-15,39,6.4,6,6.3,6,"3,060","48,883",> 100%
National,,All,2013-14,40,6.8,6.4,6.6,3,"3,140","47,492",99.8%
National,,All,2013-14,41,6.9,6.5,6.7,12,"3,135","47,304",99.4%
National,,All,2013-14,42,7,6.6,6.8,11,"3,216","47,602",> 100%
National,,All,2013-14,43,7.1,6.7,6.6,11,"3,151","47,746",> 100%
National,,All,2013-14,44,7.2,6.8,6.7,12,"3,271","48,777",> 100%
National,,All,2013-14,45,7.3,6.9,7,17,"3,429","48,939",> 100%
National,,All,2013-14,46,7.4,7,6.7,15,"3,320","49,409",> 100%
National,,All,2013-14,47,7.5,7.1,7,28,"3,430","49,591",> 100%
National,,All,2013-14,48,7.7,7.3,6.9,33,"3,385","49,288",> 100%
National,,All,2013-14,49,7.8,7.4,7.2,42,"3,594","50,812",> 100%
National,,All,2013-14,50,7.9,7.5,7.6,68,"3,856","51,848",> 100%
National,,All,2013-14,51,8,7.6,7.7,107,"3,917","52,548",> 100%
National,,All,2013-14,52,8.1,7.7,8,207,"3,942","51,954",> 100%
National,,All,2013-14,1,8.2,7.8,9.1,351,"4,512","53,539",> 100%
National,,All,2013-14,2,8.3,7.9,9.8,461,"4,999","55,822",> 100%
National,,All,2013-14,3,8.4,7.9,10,474,"5,005","54,588",> 100%
National,,All,2013-14,4,8.4,8,9.7,442,"4,783","54,097",> 100%
National,,All,2013-14,5,8.4,8,9.3,385,"4,623","53,968",> 100%
National,,All,2013-14,6,8.5,8.1,9,315,"4,476","53,408",> 100%
National,,All,2013-14,7,8.5,8.1,8.6,271,"4,385","53,834",> 100%
National,,All,2013-14,8,8.5,8.1,8,209,"3,990","52,673",> 100%
National,,All,2013-14,9,8.5,8.1,7.8,161,"3,868","51,695",> 100%
National,,All,2013-14,10,8.4,8,8,125,"4,048","52,065",> 100%
National,,All,2013-14,11,8.4,8,7.8,93,"3,942","51,787",> 100%
National,,All,2013-14,12,8.3,7.9,7.6,74,"3,834","51,399",> 100%
National,,All,2013-14,13,8.3,7.9,7.6,65,"3,797","50,888",> 100%
National,,All,2013-14,14,8.2,7.8,7.6,55,"3,824","50,888",> 100%
National,,All,2013-14,15,8.1,7.7,7.5,74,"3,730","50,731",> 100%
National,,All,2013-14,16,8,7.6,7.3,55,"3,595","49,929",> 100%
National,,All,2013-14,17,7.9,7.5,7.1,54,"3,498","49,915",> 100%
National,,All,2013-14,18,7.7,7.3,7.1,53,"3,490","49,677",> 100%
National,,All,2013-14,19,7.6,7.2,7.1,39,"3,512","50,330",> 100%
National,,All,2013-14,20,7.5,7.1,6.8,27,"3,222","47,939",> 100%
National,,All,2013-14,21,7.4,7,6.7,24,"3,242","48,608",> 100%
National,,All,2013-14,22,7.2,6.8,6.5,15,"3,140","48,176",> 100%
National,,All,2013-14,23,7.1,6.7,6.8,20,"3,220","47,792",> 100%
National,,All,2013-14,24,7,6.6,6.8,15,"3,222","47,839",> 100%
National,,All,2013-14,25,6.9,6.5,6.5,7,"3,077","47,618",> 100%
National,,All,2013-14,26,6.8,6.4,6.3,3,"2,998","47,461",99.8%
National,,All,2013-14,27,6.7,6.3,6.3,6,"3,000","47,435",99.7%
National,,All,2013-14,28,6.6,6.2,6.3,4,"2,988","47,473",99.8%
National,,All,2013-14,29,6.5,6.1,6.2,7,"2,944","47,244",99.3%
National,,All,2013-14,30,6.5,6.1,6.3,3,"2,985","47,159",99.1%
National,,All,2013-14,31,6.4,6,6.2,5,"2,923","46,994",98.8%
National,,All,2013-14,32,6.4,6,6,1,"2,842","47,078",98.9%
National,,All,2013-14,33,6.4,6,6.1,5,"2,869","46,752",98.3%
National,,All,2013-14,34,6.4,6,6.2,6,"2,877","46,778",98.3%
National,,All,2013-14,35,6.4,6,6.1,5,"2,825","46,663",98.1%
National,,All,2013-14,36,6.4,6,6.2,1,"2,966","47,473",99.8%
National,,All,2013-14,37,6.4,6,6.1,4,"2,881","46,971",98.7%
National,,All,2013-14,38,6.5,6.1,6.2,6,"2,990","48,082",> 100%
National,,All,2013-14,39,6.6,6.2,6.2,6,"3,017","48,421",> 100%
